name,id_original
Tamra Davis,11017
Victor Hammer,11017
Guy Ferland,37141
Herbert Ross,9382
Donald E. Thorin,9382
Peter Horton,6715
Andrew Dintenfass,6715
Stuart Gordon,18256
Mario Vulpiani,18256
Pat O'Connor,22625
Kenneth MacMillan,22625
Kevin Smith,2292
David Klein,2292
Jeremy Leven,1909
Ralf D. Bode,1909
Barry Levinson,8984
Tony Pierce-Roberts,8984
René Bonnière,61813
John Badham,4954
Roy H. Wagner,4954
Norman Kent,4954
Jack Baran,62488
Roman Polanski,10531
Tonino Delli Colli,10531
Taylor Hackford,11929
Gabriel Beristain,11929
Peter Farrelly,8467
Mark Irwin,8467
Bobby Farrelly,8467
J.B. Rogers,8467
Ang Lee,10451
Jong Lin,10451
Atom Egoyan,20156
Garry Marshall,18395
Theo van de Sande,18395
Tim Burton,522
Stefan Czapsky,522
Mike Topoozian,522
Gregory Kent Simmons,522
Lawrence Kasdan,397
Owen Roizman,397
Billy Crystal,10525
Don Burgess,10525
Phillip Borsos,27985
Kevin Lima,15789
Paul Brizzi,15789
Brett Leonard,27303
Carlo Carlei,21183
Raffaele Mertes,21183
Gérard Corbiau,10954
Walther van den Ende,10954
Mark Lewis,47867
Art Clokey,43475
Elliot Davis,72031
Charles Burnett,72031
Steve James,14275
Alun Bollinger,1024
Peter Jackson,1024
Randall Miller,17207
Peter Suschitzky,13701
Bernard Rose,13701
Steven Brill,14819
J. F. Lawton,32631
Ian Baker,11777
Fred Schepisi,11777
Philippe Rousselot,628
Neil Jordan,628
James Ivory,87729
James Melkonian,18713
Ivan Reitman,6280
Adam Greenberg,6280
Arne Glimcher,9061
Lajos Koltai,9061
Michael Gottlieb,37108
Barbet Schroeder,6071
Luciano Tovoli,6071
George Lucas,11
Gilbert Taylor,11
Gillian Armstrong,9587
Geoffrey Simpson,9587
Emmanuel Lubezki,19101
Alfonso Cuarón,19101
Ken Loach,49980
Barry Ackroyd,49980
Claude Chabrol,17961
Emmanuel Lubezki,18183
Steven Bernstein,18183
Alfonso Aráu,18183
John Toll,4476
Edward Zwick,4476
Nick Castle,11008
Richard Bowen,11008
James Gray,47504
Tom Richmond,47504
Allison Anders,32325
Glenn Gordon Caron,43742
Conrad L. Hall,43742
Stephen Gyllenhaal,28313
Andrew Dunn,11318
Nicholas Hytner,11318
Roger Pratt,3036
Kenneth Branagh,3036
James Orr,40490
Nora Ephron,24070
Sven Nykvist,24070
Richard Benjamin,8986
David Watkin,8986
Les Mayfield,10510
Julio Macat,10510
David Frankel,17402
Gregory Nava,38722
Marc Rocco,8438
Fred Murphy,8438
John Bailey,11593
Robert Benton,11593
Dante Spinotti,1945
Michael Apted,1945
Nick Gomez,39310
Tōru Murakawa,109560
Vadim Jean,56428
Albert Pyun,63105
Alan Jacobs,131957
Robert Richardson,241
Oliver Stone,241
Norman Jewison,9058
Sven Nykvist,9058
Lee Tamahori,527
Stuart Dryburgh,527
Anne Goursaud,18220
Wolfgang Petersen,6950
Michael Ballhaus,6950
Luc Besson,101
Thierry Arbogast,101
Pascal Chaumeil,101
Mira Nair,63020
Stuart Dryburgh,63020
Joshua Brand,2307
John Schwartzman,2307
Quentin Tarantino,680
Andrzej Sekula,680
Samantha Gore,680
Francis R. Mahony III,680
Mario Van Peebles,41478
Ang Lee,25296
Jong Lin,25296
Antonia Bird,40156
Fred Tammes,40156
Robert Redford,11450
Michael Ballhaus,11450
Ed Check,11450
Tony Fanning,11450
Bob Shaw,11450
Claudio Rocha,30304
Kayo Hatta,30304
Philippe Rousselot,10452
Patrice Chéreau,10452
Sam Raimi,12106
Dante Spinotti,12106
Peter Yates,161495
Robert Altman,3586
Jean Lépine,3586
Pierre Mignot,3586
Krzysztof Kieślowski,110
Piotr Sobocinski,110
Slawomir Idziak,108
Krzysztof Kieślowski,108
Edward Klosinski,109
Krzysztof Kieślowski,109
He Ping,159185
Lun Yang,159185
Fred Gerber,36357
George Mihalka,92769
Harold Ramis,28033
Richard Rich,22586
Steven E. Gordon,22586
Bret Taylor Babos,22586
Gregory Daven,22586
John Sayles,14334
Haskell Wexler,14334
Luis Llosa,2636
Jeffrey L. Kimball,2636
Roland Emmerich,2164
Karl Walter Lindenlaub,2164
Walt Lloyd,11395
John Pasquin,11395
Frank Darabont,278
Roger Deakins,278
John R. Woodward,278
Thomas Schellenberg,278
Jesse V. Johnson,278
Jack Evans,278
Danny Boyle,9905
Brian Tufano,9905
Scott McGehee,87078
David Siegel,87078
Greg Gardiner,87078
Daniel Goldfield,87078
Tomás Gutiérrez Alea,12527
Juan Carlos Tabío,12527
Mario García Joya,12527
George Huang,20306
Kevin Dowling,36614
Geoff Burton,36614
Kelly Makin,27993
Zhang Yimou,31439
Lü Yue,31439
Rachel Talalay,9067
Gale Tattersall,9067
Ernest R. Dickerson,9059
Rick Bota,9059
David Carson,193
John A. Alonzo,193
Rusty Cundieff,25066
Brian Gilbert,46797
John Carpenter,12122
Gary B. Kibbe,12122
Peter Segal,11381
Victor J. Kemper,11381
Louis Malle,32636
Steven Soderbergh,36141
Elliot Davis,36141
Preston A. Whitmore II,95963
Lasse Hallström,1587
Brett Leonard,9271
Gale Tattersall,9271
Phedon Papamichael,2064
Jon Turteltaub,2064
Jon Avnet,19855
Mina Shum,60855
P.J. Hogan,236
Martin McGrath,236
Melanie Mayron,48287
Tom Shadyac,3049
Julio Macat,3049
Stephan Elliott,2759
Brian J. Breheny,2759
Iain Softley,12635
Ian Wilson,12635
Roman Polanski,10497
Tonino Delli Colli,10497
Jean-Michel Ducourty,10497
Woody Allen,11382
Carlo Di Palma,11382
Donald McAlpine,9331
Phillip Noyce,9331
Robert Woodruff,9331
Alan B. Curtiss,9331
Joel Schumacher,10731
Tony Pierce-Roberts,10731
Jessie Nelson,10464
Bruce Surtees,10464
Spike Lee,34152
Dariusz Wolski,9495
Alex Proyas,9495
Ron Shelton,29973
Dean Cundey,888
Bill Getty,888
Richard Olso,888
Brian Levant,888
Robert Zemeckis,13
Don Burgess,13
Steve Arnold,13
Linda Berger,13
Tony Fanning,13
Doug Chiang,13
Bruce Moriarty,13
Mike Newell,712
Michael Coulter,712
John Singleton,16295
Peter Lyons Collister,16295
Darnell Martin,48992
Charles Shyer,10879
John Lindley,10879
Caleb Deschanel,10660
Andrew Bergman,10660
Stephen Sommers,10714
Juan Ruiz Anchía,10714
Ray Müller,41647
Roger Allers,8587
Rob Minkoff,8587
Bernardo Bertolucci,1689
Vittorio Storaro,1689
Wes Craven,11596
Mark Irwin,11596
Chuck Russell,854
John R. Leonetti,854
Richard Donner,9359
Vilmos Zsigmond,9359
Alan Rudolph,23333
Jan Kiesser,23333
Peter Segal,36593
Robert M. Stevens,36593
John Seale,12280
Ron Howard,12280
Ben Stiller,2788
Emmanuel Lubezki,2788
John Dahl,10427
Marc Reshovsky,10427
Donald Petrie,11011
Don Burgess,11011
Robert Allan Ackerman,49803
Curtis Hanson,8987
Robert Elswit,8987
Jan de Bont,1637
Andrzej Bartkowiak,1637
Ron Underwood,15128
Peter Hyams,8831
Peter Hyams,8831
James Cameron,36955
Russell Carpenter,36955
Luis Mandoki,10449
Lajos Koltai,10449
John Dexter,10395
Mike Nichols,10395
Giuseppe Rotunno,10395
Lawrence Kasdan,12160
Owen Roizman,12160
Damian Harris,40480
Suri Krishnamma,52038
Ashley Rowe,52038
Peter Deming,29444
Jefery Levy,29444
Keenen Ivory Wayans,26352
Robert Lee King,39953
Brian Sloan,39953
Raoul O'Connell,39953
Yves Angelo,41580
Russ Meyer,315
Walter Schenk,315
Doug McHenry,22067
